"","area","con","time","mld","bio"
"1",10.0474591994462,72.7007958439318,2018-06-30,23.8490134934283,1.74207093763252
"2",3.59516214123909,87.7790416015157,2018-07-01,23.8812683429093,0.753644796889349
"3",7.62806709887768,89.3986070930146,2018-07-02,23.9151760457897,1.63086810365125
"4",6.27626986780017,88.3133625558434,2018-07-03,23.9506213600858,1.32753143937178
"5",4.17091011772783,77.2649895876267,2018-07-04,23.987489043814,0.773033599622794
"6",3.92166165411963,92.9468816570461,2018-07-05,24.0256638549906,0.875750395476238
"7",6.94842702373162,74.8600672726792,2018-07-06,24.0650305516321,1.2517659419627
"8",9.7643402969534,72.4380200066576,2018-07-07,24.1054738917547,1.70500301500773
"9",15.3949602284616,71.5755808549,2018-07-08,24.1468786333749,2.6607523333317
"10",18.0885647400084,72.860064468686,2018-07-09,24.1891295345089,3.18796760771013
"11",13.2839420455513,73.1764890938823,2018-07-10,24.2321113531732,2.35553627683407
"12",7.63802629962787,70.2380918457521,2018-07-11,24.275708847384,1.3023441816815
"13",3.26693843714044,73.8929191033286,2018-07-12,24.3198067751579,0.587088933610062
"14",3.17997785068842,77.0044630062646,2018-07-13,24.364289894511,0.596614425470978
"15",3.52849071212728,71.9689734018686,2018-07-14,24.4090429634598,0.619847762962835
"16",3.1530957252624,74.9863757877814,2018-07-15,24.4539507400207,0.578187306210485
"17",3.69155619663159,79.8723430225344,2018-07-16,24.4988979822099,0.722357951567678
"18",2.8630149041911,77.4447551083692,2018-07-17,24.5437694480439,0.544197926133649
"19",2.87630103430307,71.1685059684551,2018-07-18,24.5887266661459,0.503336268972092
"20",6.54521375256257,72.3279646481885,2018-07-19,24.6340548825373,1.16618105763157
"21",8.35790384619129,71.9078987170113,2018-07-20,24.6798244313315,1.48325572877709
"22",7.68934020733963,71.0882803488035,2018-07-21,24.726105646642,1.35158326372672
"23",6.16964439290008,73.1333017697149,2018-07-22,24.772968862582,1.11777237129406
"24",7.5580533098263,86.7517182702233,2018-07-23,24.8204844132652,1.62741490623187
"25",10.6174354355015,87.2988131943808,2018-07-24,24.8687226328048,2.30505582022747
"26",13.8043753430473,84.0441413954871,2018-07-25,24.9177538553143,2.89090017552114
"27",13.0005001007394,84.9895115472781,2018-07-26,24.9676484149072,2.75869083703622
"28",10.8520904408331,83.004764898847,2018-07-27,25.0184766456968,2.25360236970724
"29",9.91789260595112,86.5134924747941,2018-07-28,25.0703088817965,2.1511115420502
"30",10.5219314875957,88.4994704537072,2018-07-29,25.1232154573198,2.33943705506339
"31",9.49995197193155,85.2362155467414,2018-07-30,25.1772667063801,2.03870387837446
"32",10.2893230899,88.0795667162749,2018-07-31,25.2325329630908,2.2867717758113
"33",6.39824585020094,88.9896794520134,2018-08-01,25.2890845615653,1.43990445269554
"34",7.91708288114005,92.651187317549,2018-08-02,25.3469918359171,1.85927061509235
"35",9.72352965911037,94.7944823366985,2018-08-03,25.4063251202596,2.34179488943539
"36",7.80507150185717,96.0623892693682,2018-08-04,25.4671547487061,1.90946058211805
"37",4.92804296397298,95.077838599582,2018-08-05,25.5295510553701,1.19618117535253
"38",7.99753661352509,88.2916674927791,2018-08-06,25.5935843743651,1.80720354172263
"39",12.1809692884365,79.3552410861517,2018-08-07,25.6593250398044,2.48029131091147
"40",17.9984142186381,81.8164365602854,2018-08-08,25.7268433858014,3.78844778185429
"41",19.5030774498136,92.5875230751975,2018-08-09,25.7962097464697,4.65812899236863
"42",14.4470911975792,100.13973971356,2018-08-10,25.8674944559225,3.74232272813038
"43",8.90477039014992,111.542179744679,2018-08-11,25.9407678482734,2.57658622066126
"44",8.13328336450205,98.1492346415733,2018-08-12,26.0161002576356,2.07680164128874
"45",9.45191181647215,91.6102574877357,2018-08-13,26.0935620181228,2.25942085667557
"46",12.8729069489876,100.300732308066,2018-08-14,26.1732234638482,3.37938713948188
"47",13.2555194535007,109.040163230037,2018-08-15,26.2551549289253,3.79487809806668
"48",13.1038125693362,112.927603475569,2018-08-16,26.3394267474675,3.8976613538136
"49",14.6256051847614,114.633740794604,2018-08-17,26.4261092535882,4.43056932669668
"50",12.5135558932331,111.573499135757,2018-08-18,26.5152727814009,3.70201258379637
"51",12.1391815839591,109.045030048454,2018-08-19,26.606987665019,3.52201330815149
"52",12.3992421236949,109.092978069986,2018-08-20,26.7013242385558,3.61180869086584
"53",13.224445043072,125.801725692984,2018-08-21,26.7983528361248,4.45832942903418
"54",16.135305567819,123.931858656819,2018-08-22,26.8981437918395,5.37876373831364
"55",15.3056864176637,119.03444262462,2018-08-23,27.0007674398132,4.91928021978245
"56",15.0626417971309,121.481641657749,2018-08-24,27.1062941141593,4.96000308691515
"57",15.5497201484067,124.190928424464,2018-08-25,27.2147941489914,5.25554192364278
"58",22.5294513123552,126.299444816011,2018-08-26,27.3263378784227,7.77559246679431
"59",23.4839097961151,137.360413405569,2018-08-27,27.4409956365667,8.85180539549627
"60",22.2290589529965,133.476062999245,2018-08-28,27.5588377575369,8.17683744217248
"61",22.9249587086592,139.365101238694,2018-08-29,27.6799345754466,8.8435707788411
"62",24.4938542669675,141.86763912155,2018-08-30,27.8043564244093,9.66169487990506
"63",24.8665129727578,130.79973047792,2018-08-31,27.9321736385383,9.08503219612138
"64",22.1636434111504,123.939194012314,2018-09-01,28.0634565519472,7.70887464221463
"65",19.0693587062186,129.382771888822,2018-09-02,28.1976277990051,6.95704981444165
"66",16.9261961622213,129.824009252378,2018-09-03,28.3340632858089,6.22620256868883
"67",9.7499673283988,117.169504213598,2018-09-04,28.4727632540638,3.25272516551595
